filename,character,origin,game,gender,publisher
data/nintendo/peach.clean/000208.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000252.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000517.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000221.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000202.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000336.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000438.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000331.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000388.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000040.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000666.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000090.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000352.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000392.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000531.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000169.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000408.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000328.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000569.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000249.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000275.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000529.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000084.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000384.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000360.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000083.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000406.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000418.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000470.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000465.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000395.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000536.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000303.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000002.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000673.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000605.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000027.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000637.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000112.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000577.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000457.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000240.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000034.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000497.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000150.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000561.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000430.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000239.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000490.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000207.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000233.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000359.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000047.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000101.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000502.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000694.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000141.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000123.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000129.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000096.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000251.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000100.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000584.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000537.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000008.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000469.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000110.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000286.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000058.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000134.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000578.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000237.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000029.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000603.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000685.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000078.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000246.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000387.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000086.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000247.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000441.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000322.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000478.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000511.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000355.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000381.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000288.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000280.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000488.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000521.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000423.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000178.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000209.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000104.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000108.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000156.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000376.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000126.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000173.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000689.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000007.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000063.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000009.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000424.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000181.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000405.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000311.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000364.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000106.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000266.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000010.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000190.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000365.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000473.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000001.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000622.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000596.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000421.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000661.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000420.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000171.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000476.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000277.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000532.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000064.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000616.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000489.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000546.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000562.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000059.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000675.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000318.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000118.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000085.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000192.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000404.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000520.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000649.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000592.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000615.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000087.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000454.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000340.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000494.jpg,peach,,,,nintendo
data/nintendo/peach.clean/000614.jpg,peach,,,,nintendo
